"Movie_Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Fast & Furious","SnoopyStyle","23 February 2014","Dom Toretto (Vin Diesel) and Letty (Michelle Rodriguez) have escaped to the Dominican Republic and resume their criminal ways. However when the cops close in on Dom, he decides to leave everything behind including Letty. Later he finds that Letty has been killed while working for drug baron Braga who is using street racers to drive his drugs across the border. Only he doesn't know that Letty was working for Brian O'Conner (Paul Walker) as an informant. Now Dom and Brian are both trying to get Braga by infiltrating his group as drivers.The family is back and the movie is so much the better for it. Director Justin Lin returns after Tokyo Drift. The franchise really missed the presence of Vin Diesel. The only minor disappointment are the car chases. They're good but just not great. They can be better. It's also sad to lose Letty so early on in the movie. It misses her energy.","7/10"
"Fast & Furious","ivo-cobra8","18 October 2015","Fast & Furious (2009) is an awesome Action packed sequel, where The Fast and the Furious (2001) stopped. This is the real sequel to The Fast and The Furious. I love that Paul Walker, Vin Diesel, Michelle Rodriguez and Jordana Brewster reprise their roles back to the roots the way they were. This is my fourth favorite best film in the series, this film Is a seat to the edge from the beginning till the end. This movie kept me thoroughly entertained from beginning to end. Sure it's a little far fetched, but who cares? It's a movie, and definitely not as bad as some people are saying. Besides, the point of watching a movie is to escape reality so I don't understand why people complain when movies are not realistic. Provided a cinematic equivalent of NOS to the franchise with a tone shift that helped make it one of the most popular and profitable action series in the last decade. Excellent flick. Much better than the middle two. Just forget those movies happened. This was good balls to the walls action with much better actors with the original 4 back together. Bad idea making 2 and 3 :) Vin Diesel and Paul Walker re team with Michelle Rodriguez and Jordana Brewster for the ultimate chapter of the franchise built on speed! When fugitive Dominic Toretto (Vin Diesel) returns to Los Angeles to avenge a loved one's death, it reignites his feud with agent Brian O'Conner (Walker). But, as they race through crowded city streets and across international lines, they must test their loyalties by joining together to bring down a shared enemy. From big rig heists to precision tunnel crawls, Fast & Furious takes you back into the high-octane world, which lives for speed, drives for the rush and breaks all the rules!""Maybe you're the bad guy pretending to be the good guy."" This film is more about stopping a notorious drug lord Arturo Braga and avenging the murder of Letty (Michelle Rodriguez). This film is set back in Los Angles when everything started, after 5.years of leaving the city of Angeles for Dominican Republic after Dom (Vin Diesel) and his crew become a Wanted Fugitives. Letty was murdered when she was mixed up in a drug racers mule cartel. She knew the people who hired her, will double crossed her, while trying to escape the flying bullets she was killed by a drug lord's henchman. That weary angrier Dom (Vin Diesel) brings him back to Los Angeles, to avenge his loved one's death and tracking down Drug Lord Braga and killing him. Brian O'Connor (Paul Walker), is now an FBI agent, and he is assigned to track down a notorious drug lord named Arturo Braga. Both men faces each other in a final showdown. Braga is looking for a fast drivers that are driving and smuggling trough desert New Mexico drugs. Brian goes again undercover only to find out that he and Dom (Vin Diesel) are been double crossed and set up on the same way that was Letty (Michelle Rodriguez) was. This film is filled with full action, fast cars, full of stunts and beautiful women. Gal Gadot is tremendous as Gisele Harabo it was her first role in this film and she was awesome, she acted the character terrific. Paul walker was the best in this film, finally, finally they did something with the character, he become an FBI Agent which I love that with the character In this movie. I love that Dom (Vin Diesel) at the end of the film didn't run, he surrender and I love how Brian ( Paul Walker) was testifying for him in the court. Seriously this film Kicks ass, although I prefer Fast Five over this Action Flick, but that doesn't mean this film did not do the job right, it did! And this film is highly underrated and criticized by critics. Also Han (Sung Kang) has a small scene in the beginning of this film, that was before they killed the beloved character in The Fast and the Furious: Tokyo Drift (2006). The rating I am giving to this film is 9. Anything below 7 would be ridiculous, if anyone would not say that this wasn't At least A GOOD ACTION FILM! (it is sure as hell better than all the comic movies that are getting high scores.)","9/10"
"Fast & Furious","claudio_carvalho","12 December 2009","When Dominic Toretto (Vin Diesel) is informed that his beloved Letty (Michelle Rodriguez) was assassinated, he returns to Los Angeles to find the murderer. Meanwhile, his former friend and FBI agent Brian Conner (Paul Walker) is assigned to capture the mysterious drug lord Braga that is looking for replacement drivers, working undercover as his courier, driving from Mexico to USA through the desert. Dom discovers that Letty was working as a courier for Braga when she was killed and he decides to join his gang to find the killer. Their lives entwine substantiating their friendship and Brian dates Mia Toretto (Jordana Brewster) again. But they need to find the true identity of Braga. ""Fast & Furious"" is a great adventure and an excellent entertainment as good as the first movie of this franchise. The chemistry between Paul Walker and Vin Diesel is amazing performing very likable characters. The talented Jordana Brewster is for me one of the most (if not the most) gorgeous actresses of her generation and I look forward to see her works. My vote is seven.Title (Brazil): ""Velozes e Furiosos 4"" (""Fast and Furious 4"")","7/10"
"Fast & Furious","ccthemovieman-1","19 August 2009","This is one of these 107-minute testosterone movies guys crave every once in awhile, some more than others. Being a somewhat-old guy, I don't look as these as often anymore but every once in awhile it's fun to kick back and just watch fast cars, loose women, wild action and fairly-brainless film.There isn't much of a plot but my guess is people who are fans of this film series don't care. Just give us the above - muscle cars, macho men, sexy babes and a few great chase scenes - and that's all that is asked. I thought the best scene was the first one, a chase down mountain in the Dominican Republic. That was like a James Bond opening scene: a real attention-getter.After that, you get the normal F&F material, which glamorizes things that shouldn't be (racing through crowded streets, etc.) but also has the ""good"" guys going to capture a drug lord from Mexico.....and a lot of punks along the way. They all sneer and have a lot of tattoos. I've only seen this one and the first in the series but from what I read here, I've seen the two best of the four Fast & Furious films. Vin Diesel helps make them a notch above the others, I suspect. He's always interesting as ""Dom Toretto"" and his character is the most credible.","7/10"
"Fast & Furious","C-Younkin","31 March 2009","Fast and Furious, or 4 Fast 4 Furious if you're keeping count, is a movie you can basically sum up in one sentence. Muscle guys, muscle cars, hot chicks, and incredible action sequences. Not much has changed in the four films other than who the muscle guys wind up being played by but nonetheless, if you're going to the movies strictly to continually watch these things, then not only will this series run forever, but you should have no problem sitting through this fourth flick. Of course the other thing to look at here is the resurrection of Vin Diesel's action star persona, and considering he's been doing movies like ""Babylon AD"" and ""The Pacifier"" for the past couple years, you can basically say this is one of his better performances in a real long time.The plot is pretty thin but I'm sure for fans of the first movie it will be nice to see the two leads back playing their roles. Diesel reprises wanted felon Dom Toretto, who after escaping at the end of the first movie seems to have started a new life in the Dominican Republic knocking over trucks. What brings him back to Los Angeles is revenge for the death of his girlfriend (Michelle Rodriguez) at the hands of brutal drug dealers led by Braga. This brings him face to face with the man who infiltrated his gang in the first flick, Brian O'Connor (Paul Walker), now an FBI agent going after the same drug dealers. And wouldn't you know that driving plays a big part in Braga's whole smuggling operation so both Brian and Dom team up, amidst some trust issues, to bring down the drug cartel.Hopefully director Justin Lin (""Tokyo Drift"") gets the credit he deserves this time around. He's fantastic with these action sequences, not only making them pulse-pounding thrill rides but also letting you feel like you're in the car with these characters. The movie starts out brilliantly with a propane truck hi-jacking that turns life or death when things get out of control and the truck barrels down on the hi-jackers, and then just continues to go full throttle, staging a race on a crowded Los Angeles street and then chases in an underground tunnel shaft. Once these characters get in their cars you won't be bored for a moment.Outside the car is a different matter though. Both actors do what they can. Diesel is adrenaline personified. With his gravelly voice, bulging biceps, and cool, playful way around a line of dialogue, he's a lot of fun to watch. And while still pretty wooden, I admit that Walker has a pretty-boy face and an athletic physicality that makes him a good hero. This pairing worked well in the first movie, sort of like an amateur, yet entertaining, version of the adrenaline-seeking- cop and criminal formula a la ""Point Break."" Just after four movies it's all gotten stale and it's easy to see that the cars are the real stars here. The Dom-Brian conflict and Dom's vendetta against the cartel is mostly overshadowed and there isn't much for either character to do when away from their vehicles. Diesel and Walker try but they always seem to be a couple wheels short of competing with the four-wheel drive.""Fast and Furious"" deserves credit for doing the key things well. If your expecting much from anything other than the cars then it's a disappointment, but thanks to Justin Lin this has all the makings of a really thrilling action movie, making this fourth flick in the series a little bit better than its predecessors and a lot of fun.","7/10"
"Fast & Furious","disdressed12","24 April 2011","i thought this prequel to Tokyo Drift was actually not bad.it starts off with a real adrenaline rush.the racing scenes are pretty good,as are the chase scenes.the story was good,and flowed well.there are quite a few dramatic moments in this film and they all work well.most of the original actors form the first film in the series are back,including Vin Diesel,Jordana Brewster Michele Rodriguez,and Paul Walker.i don't think it was as good as the first film,but it was a close second.i added it to my collection,and don't regret it.if you're a fan of the series,you should like this one.for me,Fast & Furious is a well deserved 7/10","7/10"
"Fast & Furious","masonsaul","26 July 2019","Once again, it follows the same plot points as some of the previous installments but Fast and Furious is still fun and its beginning to embrace the ridiculousness. Vin Diesel and Paul Walker give great performances and it's nice to see them back in the same film. John Ortiz is a really good villain. The action and car chases are also really good as usual.","6/10"
"Fast & Furious","Robert_duder","12 July 2009","So what is Fast and Furious? It's not a remake, or a reboot, and although it would appear to be a sequel it really is ultimately a recap to the very first film...or the second I forget. It has been so long since I've seen the original two films which this one is a direct follow up to. I kind of wish I had watched the first two before seeing this because it may have helped with the overall characters and plot. They do still try to link together not just the first two films but all the movies which I give them kudos for because I actually thoroughly enjoyed Tokyo Drift. So here comes Fast and Furious, barely changing the title from the first one but bringing back the original cast that defined the series. The thing that caught me the most about this film is it is not about car racing anymore. Really the film is about drug trafficking and despite a huge car/truck stunt in the first scene Fast and Furious lacks much of anything fast at all. All the other installments of the series have focused on the cars and the sexy sleek speed of everything but Fast and Furious tries to turn that around by giving it a different edge.Vin Diesel thrives in a Fast and Furious movie like this one or it's predecessors. It even brings out a little bit of actor in him. This is part of the reason I think he has trouble staying afloat in other films because he is Dominic Toretto. They really try to give him some depth in this installment which works okay but you really just want to see him race. I'm not sure he can do much else outside these movies. Paul Walker...remember when he was the IT boy? He returns to his role as tainted Federal Agent Brian O'Connor. Diesel and Walker still have oddly good chemistry together and they work better together as a crime fighting team then racing adversaries. Walker is not much different than he is ever been and just kind of looks pretty and does the bare minimum to stay afloat. Jordana Brewster and Michelle Rodriguez return to their roles in the film very briefly, enough to say they were there but give very little extra to the plot or their characters other than a little bit of sexual tension between Brewster and Walker who are like the power couple of the series. The villain of the film is played by John Ortiz and does a very solid job. If only the heroes of the film had the same depth this movie could have been as good as it's previous installments.Some people feel that the entire Fast and The Furious franchise is simply about cars and hot stars and if that is the only thing that holds this together and makes you want to see it than I suppose you won't be remotely disappointed in this one. The hot faces and cars are still there but without the same level of the street racing that the earlier one focused on. The only issue with this film is that they don't work on the existing characters at all. It's like they take the exact same characters from the first movie and port them into this movie with no continuation of them or growth to them. Diesel and Walker just feel very empty and you keep waiting for more of them. Fortunately the action and the work of director Justin Lin who has previously proved with mainstream films like Tokyo Drift and Annapolis that he can tell a great story without a lot of fluff or frills. There is nothing wrong with Fast and Furious except that it feels rushed and slapped together. It is very impressive that they were able to bring back everyone from the original film for the most part. Fans of the series will likely still be impressed. 7/10","7/10"
"Fast & Furious","taylorkingston","26 April 2015","I was honestly so happy when this movie happened. I am a huge fan of The Fast And The Furious, and sadly, 2 Fast 2 Furious and The Fast And The Furious: Tokyo Drift, did not meet my expectations. I just thought they changed too much. This movie brings everyone back, and the story goes back to where it was born and where it made fans love the sport of drag racing even more. This movie is pretty much about Dominic Toretto. He's a street racer and a thief, who is still wanted by the law and other criminals. He decides it's safer to cut himself off from everyone in his life, including his sister, Mia and his girlfriend, Letty. But after Letty is killed, things need to change. Brian O'Conner, Dominic's old friend, turned rival, turned friend, is still working at the FBI and decides that he'll help Dom get answers about Letty's death. They go undercover to uncover a drug-smuggler, who just happens to be connected to Letty.Overall, I give this movie a 10 out of 10, which in my ratings book is: Freaking Ridonkulous.","10/10"
"Fast & Furious","g-bodyl","19 March 2010","Fast and Furious is another great addition to the already great series of these movies. This movie picks up after 2 Fast 2 Furious which came out six years before this. I am really happy to see the original cast back in the film. These four people are what made this series successful(at least the first one).Toretto and O'Conner must rejoin forces in order to bring down a gang that killed a loved one of Toretto.I don't see what other people seem to see. This move has a great, emotion-driven plot. As sequel after sequel comes out, it seems like the plot has gotten better with all the car racing an afternote.I really liked the acting in this film. Vin Diesel is one of my favorite actors. I was nice to see Jordana Brewster and Michelle Rodriguez after eight years. They still look good.Overall, this is a wonderful movie. I liked the action and the drama. I rate this film 9/10.","9/10"
