"Movie_Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Incredibles 2","Anthonyjkb","10 November 2018","Good: The animation for this movie was excellent just like most other Pixar movies, it was funny (especially Jack Jack) and I really liked the action sequences throughout the movie. I liked that the movie showed that parenting (when done right) can be heroic.Bad: I thought this film has quite a few problems, the biggest problem was that the ending was pretty predictable, I could see it coming. Also, there was a feminism theme with Helen which was okay but at times it seemed to shove it in my face and it got to be annoying. There seemed to be a little too much going on in the movie and a few too many characters.I'm glad I saw the movie, I just don't think I would see it again anytime soon.","
            7/10
            "
"Incredibles 2","Reckno64","31 March 2019","While I understand the disappointment, this was NOT a bad film. It isn't as good as the first one, but I think it holds up pretty well! There's lots of fun to be had watching this from the animation to the humor, and there are still some touching scenes that show there is heart put into this film. I recommend seeing CinemaWins ""Everything GREAT about Incredibles 2"" if you want to see why this film is still pretty decent. Only somewhat weak spot in my opinion was the main villain who was somewhat predictable, but man the animation at times truly is ""Incredible"" (pun intended)!Go see it! It was well worth my time and I enjoyed it, so I'm surprised to see it get all these 1 star reviews. Far from Pixar's best but still a good flick. I know you can't please everyone but I think this movie is terribliy overhated. That's just my opinion at least. 9 stars out of 10!","
            9/10
            "
"Incredibles 2","TheLittleSongbird","30 July 2018","Have always been a big fan of Pixar, liking to loving pretty much all their short films (particularly 'Presto', 'One Man Band', 'Geri's Game', 'Piper' and 'Knick Knack'). Also like to love a vast majority of their feature films, my favourites being the 'Toy Story' films, 'Up', 'Coco' and 'Inside Out' and my least favourites being the 'Cars' sequels and 'The Good Dinosaur'.While not one of my favourite Pixar films, 'The Incredibles' is still a very, very good film that has gone even higher in my estimations after a well overdue re-watch to get myself prepared for 'Incredibles 2', fantastically animated, exciting, funny, emotionally investable and ground-breaking with great characters. Expectations were high for its long awaited sequel fourteen years on, and while it is not as good a film, and what could and should have been super and incredible wasn't quite, on the most part 'Incredibles 2' was worth the wait.'Incredibles 2' does lack 'The Incredibles' originality (not much new here) and its emotional impact and character development is also not as good, the latter particularly is noticeably thinner (Bob for example was more complex before). It was a little too long for a story as slight as it was, would have trimmed it by 15-20 minutes and tightened the first act's pacing with it taking a bit too much time to get going.Like others, among my biggest problems were to do with the villain. The villain was forgettable (one of Pixar's weakest easily), the twist concerning their identity that was too obvious too soon. Found their plan convoluted, that when explained made me want a re-wind button which was not possible in the cinema, and the motivation was pretty weak and extreme, took a while for me to get my head round. While the characters are fun, it did feel like there were too many, not sure whether it needed that many superheroes that aren't given enough to do other than in the climax.However, it may sound like 'Incredibles 2' was a bad film. It wasn't. Actually enjoyed it a good deal. The animation is fantastic, smooth, vibrant in colour and meticulous in background detail, some very striking details, a richly immersive setting and the characters are well designed. Michael Giacchino's score gets one in a rousing mood while also being dynamic with the action. The action is superbly animated and thrilling with real suspense and excitement.Writing has many moments of humour that provides a lot of laughs (Jack Jack steals the show here, especially with his powers and his fight with the racoon, with some nice lines later from Edna), moments that probe thought and drama that's relatable and never too sentimental (if not as poignant as one would like). The story does grip, more so in the Elastigirl story that really held my attention before the villain reveal underwhelmed. The family drama stuff is also very prominent, and while it is repetitive at times and there could have been less of it the best moments are very funny and it is very easy to relate to the dilemmas the characters face. Pacing mostly excites when things get going.Character development is nowhere near as strong here and it would have benefitted from less characters and more done with the existing characters and more thought with the villain and their plan/motivations, but the characters are mostly fun with the highlight being Jack Jack. The voice acting is terrific, especially from Holly Hunter, Craig T Nelson and Samuel L Jackson. Brad Bird is a lot of fun in Edna's small role and Catherine Keener, Bob Odenkirk and Jonathan Banks are good additions.Overall, very enjoyable but wanted to like it much more. 7/10 Bethany Cox","
            7/10
            "
"Incredibles 2","NarniaIsAwesome","2 October 2018","'Incredibles 2' was probably the most anticipated movie of the year; it's hard to believe it's made 14 years since the first original. So obviously everyone was more than ready for this.The film does come through when it comes to entertaining action and comedy, with Jack-Jack, Bob, and Edna providing most of the biggest laughs. The plot is interesting, because we've got to know what happened to the Parr family. As far as the supervillain mystery, it's acceptable and somewhat entertaining, but a bit predictable and generic. The final criticism I have is that Edna definitely deserved more screen time.That being said, it is still an entertaining movie and not at all ""painful"" to watch.In conclusion, 'Incredibles 2' is funny, exciting, and really worth a viewing.","
            7/10
            "
"Incredibles 2","Lejink","9 February 2019","I loved the first ""The Incredibles"" and remember wondering why a follow-up hadn't been made soon after its success. Better late than never you might say but personally after watching this 14-years later sequel, I'm tending to better never than late. Somehow, for me, the movie just fell flat and didn't please me to anything like the degree of its predecessor.Don't get me wrong, the Pixar animation is fantastic as always, but somewhere along the line, the story, characters and humour lack something. The outlawed super-heroes / aliens / mutants theme has been done to death, from the X-Men to the Marvel Civil War right up to the current Supergirl TV series, likewise the husband and wife role-reversal with Mr Incredible's turn as three super-babies and a super-dad again seemed old-hat while Elastigirl's elevation to solo superstardom also felt a little like a forced and belated concession to PC-dom.I'm trying now to remember a really funny, laugh-out-loud line or memorable eye-popping sequence and I find I can't. The sub-plot of Violet and her young beau reminded me of any number of ""Married With Children"" episodes with like I said, a lack of good gags, plus Dash's characterisation was just irritating and new shape-shifting baby Jack-Jack (what kind of name is that?) even more so.For me, I found the film really dragged in places with its too predictable villain and unmemorable climax which no amount of flashy graphics could disguise. In truth I think that this sort of thing was done way better in ""Megamind"", ""Despicable Me"" and of course the first Incredibles feature.At leat I can't accuse it of being a quick cash-in but really this is one set of retired super-heroes which should have remained on the shelf.","
            3/10
            "
"Incredibles 2","Darth_Osmosis","3 August 2018","There is much to like here and not much that is outright wrong or bad. It's funny, fast paced, clever and overall works quite well. However there is an ever present feeling that the first one was better.. Maybe it's cause the plot is maybe a bit too predictable and cartoonish(yeah it IS a cartoon, but still..) or that the wait between the first and this one was so long and I expected something more? It's still good, just not great!","
            7/10
            "
"Incredibles 2","planktonrules","17 January 2019","I hate most sequels and don't think most of them are necessary...they are just an excuse to squeeze money out of the popularity of the first film. This is especially true to kids' films in recent years an it seems like a bazillion cartoons and CGI movies have been made and remade in a cynical attempt to make money. Are they any good? For most, I'd say no. However, I am happy I saw ""Incredibles 2"" as it was worthy of the franchise and offers enough new content to make it worth your time.In this follow-up, super-heroes have been banned and the Incredibles family is not about to break the law. However, when an eccentric billionaire offers to help the family rehabilitate the image of heroes in an effort to get them unbanned, bad things are in store. It's not that he is evil....but someone around him has an agenda of their own. In the meantime, Mr. Incredible is forced to become a house husband...and he struggles with learning to parent effectively and live without using his super skills. Ultimately, however, the entire family is forced into action to not only save the day but Mrs. Incredible.Of all the recent kids films, I must say that ""Incredibles 2"" has the strongest feminist message. This is NOT a complaint. I liked seeing Mrs. Incredible become the family breadwinner and Mr. Incredible learn to be tender and a caregiver. There are also other feminist aspects of the story...but I'll say no more since it would spoil the plot!Overall, an incredibly well animated and thoroughly enjoyable film. Not exactly original (hence a score that isn't higher), but well worth seeing....unlike the countless ""Ice Age"" sequels and the like.","
            8/10
            "
"Incredibles 2","randomStuff101","20 November 2018","Half way through watching this in the cinema, I thought ""maybe it's me"". Maybe it's my fault I'm not into this movie. But I loved the original, so what's going on.No. The problem is this movie is a bland attempt to express messages about gender roles and current society issues. It lacks flow, it's just a bunch of scenes one after the other, there's no coherent thread or curious elements tying it together.Nice visuals goes without saying, but the story is let down by a sense that it's been engineered around a board room table by people referring to their social media feeds for inspiration, rather than dreamt up by talented writers.Sure, some scenes are fun. But we're not watching a youtube playlist here, this is a movie and it's supposed to work as a whole, not just momentarily.The script is uninteresting, the action is exciting sometimes, but other times you just want it to end or move on. Very disappointing.Toy Story 2 was a great sequel, but this is a very poor sequel. Forgettable.If you love the first, then hold onto that because it doesn't get better. It gets worse.","
            4/10
            "
"Incredibles 2","SnoopyStyle","29 October 2018","This follows after the first movie. Superheroes continue to be banned. The family battles a supervillain causing havoc in the city. They become outcasts, unemployed, and penniless. The wealthy Deavor siblings, heads of the tech company Devtech, recruit Frozone and then the family to make superheroes great again. They convince Elastigirl to be the face of the revival while Mr. Incredible has to play Mr. Mom.Generally speaking, this is fun. It's a solid superhero movie and a fine family adventure. There is one hilarious scene with Jack-Jack and a raccoon. The only misstep is wiping Tony's memories. It would be so much more compelling for Tony to know Violet's secret and have them deal with that. It would make the young romance much more powerful and more dangerous. He could be a damsel in distress or he could slip up with the secret. There are more possibilities with him knowing. I would like Dash to dial back the bratty kid act by a half level. This continues to be great for the loving family at its center. I love Mr. Incredible figuring out how to use Jack-Jack as a laser gun. It's a fun movie and a fun franchise.","
            8/10
            "
"Incredibles 2","Anurag-Shetty","15 July 2018","Incredibles 2 continues with the adventures of the Parr family including, Bob Parr/Mr. Incredible(Craig T. Nelson), Helen Parr/Elastigirl(Holly Hunter), Violet Parr(Sarah Vowell), Dashiell 'Dash' Parr(Huck Milner) & Jack-Jack Parr(Eli Fucile). This time Helen is out being the superhero, while Bob stays at home & takes care of the kids. Incredibles 2 is a supremely entertaining film. Writer-director Brad Bird makes sure that the 14 year gap between The Incredibles(2004) & this sequel, is definitely worth the wait. The animation is flawless. The 3D is eye-popping. The action set pieces are the highlight of the movie. The humor is another strong point of the film. The talented cast who have lent their voices, make this movie unforgettable. Craig T. Nelson is outstanding as Bob Parr/Mr. Incredible. Holly Hunter is spectacular as Helen Parr/Elastigirl. Sarah Vowell is brilliant as Violet Parr. Huck Milner is superb as Dashiell 'Dash' Parr. Catherine Keener is amazing as Evelyn Deavor. Eli Fucile is adorable as Jack-Jack Parr. Bob Odenkirk is awesome as Winston Deavor. Samuel L. Jackson is fantastic as Lucius Best/Frozone. Michael Bird, Sophia Bush & Brad Bird are great as Tony Rydinger, Voyd & Edna Mode(E), respectively. The supporting cast is impressive. Incredibles 2 surpasses The Incredibles(2004) in every way. It's a must watch. I hope I don't have to wait for another 14 years, to watch Incredibles 3!","
            10/10
            "
