"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Minus_The_Beer","31 March 2018","With the seemingly endless popularity of superheroes, robots, dinosaurs and gigantic monsters on the big screen, it was only a matter of time before a franchise where superheroes transform into gigantic robotic dinosaurs to battle gigantic monsters would be resurrected. That's right: everyone's favorite half-hour toy commercial from the '90s is back to kick nostalgic butt! The ""Power Rangers"" have been re-booted with a slickly made, big-budget popcorn flick that wants to remind you of your care-free childhood days spent in front of the TV. It also probably wants you to forget the atrocious 1995 film.
It almost works.
With a gang of fresh young faces in place, the Mighty Morphin Power Rangers get back into action, sans the clumsy Mighty Morphin title. Also missing in action is a great deal of the trademark humor and inherent corniness that made the original series so much fun to watch, even long after most of us had grown up and out of it. In place of these elements are a stronger focus on character and backstory, as we not only get to know more about the teen titans, but also about their allies and enemies. Yep, even the Rangers' big-headed mentor Zordon and his haywire sidekick Alpha (played by Bryan Cranston and Bill Hader respectively) get some time to shine, as we learn more about how they came into contact with the power of the Rangers. Likewise, villainess Rita Repulsa (Elizabeth Banks) is given ample time to roam and wreak havoc, as she murders her way across town in search of gold, all the while jamming some Social Distortion. We're a long way from after-school Fox TV, friends.
The kids all play variations of the characters we came to recognize in the original run. Here we have Jason/The Red Ranger, the natural leader and jock with a heart of gold, as played by Dacre Montgomery. Stealing nearly every scene is RJ Cyler as Billy/The Blue Ranger, a brainiac who proudly confesses to being on the spectrum. Naomi Scott steps into the role of Kimberly/The Pink Ranger. This version of Kimberly is a rebel and a frequent target of bullies (haters gon' hate). Rounding out the crew are Becky G as Trini/The Yellow Ranger and Ludi Lin as Zack/The Black Ranger. These characters feel slightly under-cooked in comparison to the three ""leads."" Trini and Zack both appear troubled and withdrawn, proud conformists who are tough as nails. A glimpse into their respective home lives gives each character a little more dimension. Together, the five teens must learn to work together if they are to stop Rita's plan to end all human life. In spite of the film's short-comings, all five actors are on point and keep things are lively as possible, even when the script fails them.
Most folks are going to come into a film like this expecting a super smash of monster on robot action, and although the back half of the film makes good on that promise, the hour and a half (!) that leads up to it might leave some viewers (especially the younger ones) a bit cold. While the increased focus on character is more than welcome (given how shallow the original series was), it gets a bit redundant a third of the way in. The new characters are established firmly from the start, but the story doesn't quite know how to advance from there, leaving the middle piece of the film a little laggy and repetitive. A lot of the story beats we've seen from other (and better) superhero films are repeated and to be quite honest, it gets hard not to tune out. When the slam-bang finale comes crashing down, it (mostly) quenches the thirst for big, goofy fun but not quite. The end result is a film that feels a little muddled, as if the committee that pieced it together didn't quite know what target audience they were trying to reach. Not as dumb as ""Transformers"" but not as fun as, say, ""Guardians of the Galaxy,"" ""Power Rangers"" straddles the middle a little too comfortably. Or maybe these characters and their accompanying concepts work better in smaller doses. There's still some fun to be had here, make no mistake, but more often than not, it feels like these Rangers are operating with slightly diminished power.","
            6/10
            "
"NewGirlNickMiller","30 November 2018","Everyone that is writing a negative review of this film is saying that it didn't live up to expectations, ruined their nostalgia, was boring, was stupid, etc. So let's address some of that.Didn't live up to expectations:
If you're going into this movie expecting something amazing and ground-breaking, you're going to have a bad time. If you're expecting something more like Transformers, you'll have fun.Ruined nostalgia:
Nostalgia is a self-ruiner. Nothing ever lives up to what you remember when you were a wide-eyed child filled with wonder. Let's face it. Power Rangers was a really dumb kid's show even back then. We all just think it was baller, because we were kids when it was airing.Boring:
Some say it was boring, and I'll admit it was slow to start. It took a while to get it's stride, but if you can stick it out, it's a pretty fun movie.Stupid:
This movie has all the teenage high schooler tropes. I mean, you would almost think it were a modern day John Hughes film in the first half hour or so, because god is it tropey. That's okay though. I feel like the production team did this on purpose. This film doesn't take itself that seriously, really.My take on it is that it was fun. There were parts where I cringed. There were parts where I wanted to just shut it off. I'm glad I stuck it out, because it's not a terrible film as long as you're not expecting something on the level of Hitchcock. If you are expecting that...why?Remember, think for yourself when it comes to film. Don't take reviews too seriously, because not everyone has the same tastes.","
            7/10
            "
"dar0417","13 February 2020","Fun teen action movie that will bring you back to your childhood.","
            6/10
            "
"djfrost-46786","18 November 2018","I didn't grow up with the power rangers. I really didn't care for the power rangers and the people who liked them. This movie was a good movie. Better than alot of crap Hollywood pours into us.","
            6/10
            "
"nogodnomasters","15 July 2017","The film opens in the Cenozoic Era with aliens coming to Earth. In New Age fashion, a crystal in the earth creates a life force. We shift to modern times and are introduced to three of the would-be Rangers in detention. We get to know Zack (Ludi Lin) and Trini (Becky G.) a little later. Perhaps the worst thing you can do is to share your innermost secret with a group of teen peers, but that is what they did in order to become a team and save the world vs. a Gold Golem.The younger you are, the more likely you will enjoy the film. It is aimed at the teen. It had great graphics, although the Alpha-5 was as convincing as the alien in ""Explorers."" Rita Repulsa (Elizabeth Banks) was a little on the cartoonish side and I am not convinced of her alien name.I was too old to have watched the MMPR so I can not make comparisons. I will say they simplified the title by dropping the Mighty Morphin' part, making it a bit more mature. Bryan Cranston was barely noticeable as Zordon.Guide: No F-words, sex, or nudity.","
            8/10
            "
"amichnea","27 June 2017","Anyone that was a child when the Power Rangers was on TV will be early 30's to late early 40's. Writing a review based on your memories stating that this movie destroyed the Power Rangers of old time is just sad.I actually liked it and yes I am one of those kids. The movie is very simple. They are building up the characters, each being a misfit, they are teenagers so YES you will get a lot of the teenager drama that comes along with being a teenager. It is pretty much an Origin Superhero movie, slow at start but ending with a Bang when the heroes discover their full potential.Why would anyone compare this to the Transformers? It is filmed the same way, the special effects are pretty much the same but this is because at the end of the day they have similarities (robots, transforming) and they can only show them one way. Bear in mind that Power Rangers type of series have been around since the 70s and 80s especially in Japan and China. So NO they did not copy Transformers and the first Power Ranger movie was actually done before any of the Transformers movies. Unfortunately any movie that shows big robots and morphings will be compared to the Transformers.The movie does keep true to the original series and I have enjoyed it. I also liked seeing some of the original rangers in the crowd.Does it deserve a 10? Probably not but neither does a 1 nor do other waste of time movies/series deserve a 10. Your kids will enjoy it and so will you.","
            10/10
            "
"lesleyharris30","15 April 2017","Power Rangers is an atrocious movie with a poorly developed plot and an disinterested cast. I did not have high expectations for this film, but I was a fan of the television series as a child and thought it would be a fun tribute. Instead of that, it takes what made the Power Rangers a hit in the late nineties and forcefully updates it for today's standards, taking itself far too seriously for such a ridiculous property. The majority of the cast are uninspired, clearly only there for a pay check. The Rangers, with the exception of RJ Cyler and Ludi Lin, seem to have no desire or ambition to act. The more A list cast do not shine either, Elizabeth Banks is far too sweet and attractive to thrill us as the lead antagonist, while Bryan Cranston just seemed out of place, which was a shame, as he could do so much better. For an action film, it is not very exciting. It takes up far too much time setting up the Rangers, followed by about twenty minutes of poor action sequences that are jam packed with CGI and poor one liners. I found myself regretting my decision to watch this movie more and more throughout. Dull and poorly paced, Power Rangers is too serious to be fun, but not serious enough to be intriguing, I would avoid this one. A group of teenagers use new powers that they have been bestowed with to protect the galaxy. Best Performance: RJ Cyler / Worst Performance: Elizabeth Banks","
            2/10
            "
"Mr-Fusion","7 July 2017","Two hours long and it takes them 90 minutes to finally don the costumes. That's the essence of ""Power Rangers"", a movie that offers plenty of buildup with a clumsy payoff. A lot of money and time went into the mo-cap, but there's something to be said about the fluidity of spandex fight scenes. And strangely enough, I think I liked it better while it was a generic superhero origin story, ""Breakfast Club"" archetypes and all. Even still, these are decent actors and they breathe life into a pretty weak script.It's funny, I was never a Power Rangers fan growing up (though I certainly put in the effort) but I didn't end up liking this movie because of the writing; too much effort turning this into a serious teen drama and not focusing on the goofy appeal of the show. It was silly then and it should be now.5/10","
            5/10
            "
"tr91","22 June 2017","Most people had already decided that this film was going to be bad, so you knew it would get panned either way.I liked the original show as a kid in the 90s but with the numerous spin off shows and movies that followed, I never really stuck with the series. I got older and simply moved on to different things. Apart from the basics, my memory of Power Rangers had pretty much faded. This isn't exactly a film that we needed but I thought it's 2017, it probably has a big budget so it may well be fun. While I found it to be watchable, there was plenty of faults that even a casual viewer will notice. The story is simple but takes way too long to get going. There is simply not enough material here to warrant a 2 hour run time. There isn't really anything exciting about any of the characters and the first half just shows them meeting each other. I liked Billy (pretty funny) the most. OK so an hour later and a lot of talk about nothing, we learn that there is a villain who wants to destroy the world and the Power Rangers are the only ones who can stop her from doing so. Obviously. Then we have some failed Morphin and finally they suit up (with like 20 minutes left of the film). The action scenes were good but nothing special. The suits were kinda weird and the Red Ranger looked more like The Flash. I would say the thing that annoyed me most about this film was the dialogue. I can honestly say I think they spoke more about Krispy Kreme than being actual Power Rangers. Too much unnecessary build up and the action scenes at the end just weren't spectacular enough. Despite all the faults, I still found it to be watchable. I don't think it is really aimed at fans of the old shows/people wanting nostalgia. It is more about gaining a new set of fans and it wouldn't surprise me to see more films/shows following on from this one.","
            7/10
            "
"Leofwine_draca","7 January 2018","POWER RANGERS is a big screen outing for the 1990s TV phenomenon and much better than I expected it would be given the usual quality of a Hollywood blockbusters. It's heavily inspired by the likes of PACIFIC RIM and TRANSFORMERS and yet it has a character all of its own, and it's chock-full of references to the TV series as well as Japanese comic book creations in general. The main good thing about it is that the cast remains likeable despite being young, fresh, and too good looking by half; RJ Cyler is a particular stand-out in this respect. The film gets progressively more and more immersed in CGI as the story progresses, but it remains light and watchable and funny at times. Elizabeth Banks threatens to spoil things with another over the top performance but thankfully doesn't have too much screen time.","
            6/10
            "
