"Movie_Title","Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Iron Man","TheLittleSongbird","12 August 2014","When it comes to ranking the Marvel superhero(live action) films, Iron Man is for me up there with the better ones. It looks fabulous, the whole film is very slickly made with top-notch special effects(which look like time and effort was really put into it), awesome-looking futuristic gadgets and Iron Man's suit will be a guaranteed delight to anybody who is familiar or loves anything to do with the superhero. There is a pulsating soundtrack that adds much to the tension of the first half of the story and the enormously fun action sequences, which are exciting and tense with expertly choreography. The script crackles with smart humour that doesn't go overload, all of which is laugh-out-loud funny, yet the hostage plotting that takes up the first part of the film is intelligently written and somehow avoids being over-serious or over-familiar. The story has enough to allow you to emotionally connect with Iron Man(who I've always considered one of Marvel's most interesting and multi-faceted characters) and has a clever mix of the comic's 1960s origins and the effects of contemporary war, which will provide plenty of nostalgia while also feeling relevant. Jon Favreau does a great job directing, he never loses control of the story and he doesn't do anything too fussy. Robert Downey Jnr's performance as Tony Stark/Iron Man is a power-house and one of his best, doing much with the smart dialogue while making the emotional side of the characters wholly believable. Gwyneth Paltrow is a good, loyal side-kick with wise-cracks that don't come across as annoying and Jeff Bridges is surprisingly very good in an against-type role. Personally, the only disappointments were the useless character of Christine Everheart and the somewhat rushed and over-blown finale that wasn't quite as thrilling as it could have been, other than that Iron Man was a classy addition to the Marvel cannon and a great film on its own. 9/10 Bethany Cox","
            9/10
            "
"Iron Man","SnoopyStyle","7 December 2013","Tony Stark (Robert Downey Jr.) is a hard playing billionaire genius. He is captured in Afghanistan after demonstrating his newest weapon. He is forced to create new weapons for his captor. Instead he makes an armored suit to escape. He also makes an arc reactor to keep his heart going and shrapnel from killing him. Once back in the States, he moves his company to concentrate on arc reactor technology and stop weapons manufacturing.This is all RDJ. He and he alone makes Iron Man work. It's doubtful if anybody could have done it better. It's certain that he's made it next to impossible to replace him. Director Jon Favreau has built around him the dazzling array of tech fun, and Gwyneth Paltrow as his Girl Friday. It is RDJ's fast talking, quick wit, and personal history that makes him the perfect Tony Stark. Great character, fun movie.","
            8/10
            "
"Iron Man","bjoernidler","7 October 2018","In my attempt to rewatch all the MCU-movies chronologically I began with the first Iron Man. To cut to the chase: it's still good. A couple of things astonished me, though:First of all, a common mistake of the later Marvel-movies isn't made here. There is actually some sort of character development visible. Tony ends the movie as a totally different person. Of course, in an origin story it's easier to have your protagonist change but let's compare for a second: 
Is Ant-man really a changed man at the end of the movie? What about Star Lord? What about Thor? Black Widow? Hawkeye?Then again, you have to give it to the director that he really made a well-paced, well-balanced movie. There is action, humour, drama, world establishing, all in great balance. The final fight isn't stretched too long and therefore doesn't get boring. You can't underestimate this in our age of 45 mins battles at the end of movies.During my re-watch I also noticed how 'down to earth' this movie is if you compare it to some of the more recent MCU-entries. It just looks more real than them. It's set in a world that at least COULD be real which makes us care more for the characters and their actions. More explosions and obvious cgi-effects don't improve a movie. So the movie doesn't feel as bloated as some other superhero flicks.Finally, Iron Man is still fun to watch and not just a vehicle to set up a franchise. If you've spent the last couple of years on the moon and haven't seen any of the MCU-movies, give this a try.","
            8/10
            "
"Iron Man","repojack","7 February 2021","MCU 2021 MarathonMCU #1:Iron Man was my favorite Marvel hero. As a teen I collected 1-150 with the main series. I doodled the Iron Man helmet during class at high school when bored.So it was a huge surprise when this came out in 2008 and it was so freaking GOOD! Jon Favreau, the guy that had done Elf and Zathura (the Zumanji sequel) had just started a cinematic revolution? What!?!? (And Favreau is doing it again with The Mandalorian).Robert Downey Jr. was made for the part of Tony Stark. The origin story was modernized and handled well. They included most of the early Iron Man suits from the comics. They took the time showing the more modern invention of the suit and the challenges of making it work (e.g. maneuvering with the repulsors).I finally understood what Spiderman's fans felt like when Sam Raimi's Spiderman series became a massive pop culture sensation years earlier. Fantastic!There are issues. Pacing mostly. Jeff Bridges is too much the stereotypical villain with an over-the-top fight scene at the end.This was the beginning of the MCU world building effort which was more ""slight-of-hand"" in the earlier movies -- Stark's OCD making itself evident, that Shield guy at the party, and Samuel Jackson pinging Stark about Avengers in the end credits.It began and ended with Iron Man. That makes me happy.""I am Iron Man""","
            8/10
            "
"Iron Man","jhudson-11704","27 July 2017","With a B-list superhero, a risky lead actor, a genre that hasn't really done much other than say Nolan's Batman, this movie had a lot to prove. Wow, did it ever. It proved that superhero movies can be realistic, emotional, funny and have highly entertaining action. This is the movie to launch the MCU, and started the shared universe that DC comics and other franchises are following.Let's start with the number one reason why this movie is so good: Robert Downey Jr. I am so glad that Jon Favreau kept pressing the studio to make sure RDJ had this role because he completely nails it. He effortlessly portrays the cool, sarcastic, alcoholic, playboy that I don't even think he's acting. He's clearly not perfect as he is the guy we think is awesome but don't necessarily want to be. This role is basically synonymous with RDJ now because you can't think of Tony Stark without immediately thinking of RDJ. Iron Man wasn't a househeld name before but thanks to RDJ's performance, it is now.The action in this movie is incredible as you get to see him fly around, take on terrorist cells and fight the main villain. What I even found to more intriguing is Stark's entire time building his suit, both in the Afghan cave and in his garage because it is amazing to see his genius at work, while still being snarky and basically a tool.The writing and humor is also very good in this movie. I read that a lot of the lines, especially RDJ's were improv, which is able to keep this movie very fresh, not Rotten Tomatoes style, but it helps a lot by breaking the molds of superhero movies.A couple complaints in this film is the pacing and the final villain. The pacing starts off very well, not really rushing into him being Iron Man, establishing his character very well before his abilities. Then the final battle comes around and it's basically just an evil version of his character, which sort of works with the problem of his technology getting into wrong hands, but the fact that it's just fighting a mirror is kind of boring. The final battle comes around pretty quick and it resolved fairly quick as if they are trying to wrap it up really quickly. I did like Bridges' Obadiah Stane with his intimidating yet charming persona but in the end he was just a reverse of Iron Man, not that interesting.+ Robert Downey Jr + Fresh, new start for superhero movies + Writing and pacing (mostly) + Action and Humor - Final Villain Final Score: 9.3/10","
            9/10
            "
"Iron Man","planktonrules","12 April 2009","I finally saw this movie last night on DVD. Despite doing exceptionally well at the box office, I just never was that interested in seeing IRON MAN and only watched it after a friend gave me the DVD. In hindsight, I am glad I saw it, but think you should know at the onset that I am not a huge fan of superheros and comic books. This means that the film did manage to win me over but also that I have no knowledge of the story nor do I have the devotion to it that a typical fan might have. Take this for what you will.Since there have been a bazillion reviews for this film already, mine will be rather short and I won't even bother discussing the plot--others have already done this very well. Instead, let's first talk about what I liked. The film was very slickly made and I really enjoyed the first 3/4 of the film. The Iron Man character and how he came to be was original. Also, I was thrilled that Gwynneth Paltrow's character was NOT like the one she played in SKY CAPTAIN (uggh)--having a tiny bit more depth and not behaving as stupidly. Robert Downey was very good as a world-weary jerk who grows as a result of his near death. What I didn't particularly like was Jeff Bridge's character--it just wasn't interesting and Bridges seemed awfully one-dimensional. Additionally, while I am sure fans loved the final portion of the film, it was a let down for me because it was all action. The previous 3/4 of the film was bolstered by good writing and dialog, but the end was all special effects. Still, I must admit that they were very, very good special effects.Final verdict--A very good comic book film but not quite as well made or as interesting as THE DARK KNIGHT.FYI--The character ""Pepper Potts"" appears to be a homage to the ladies played by the Monty Python actors in their series. Series regular, Graham Chapman, coined the term ""Pepperpot"" to refer to these dowdy and severely unattractive middle-aged ""ladies"".UPDATE 7/2010--I just re-saw this film and the second time I was even more impressed with it. Robert Downey's great performance, the terrific soundtrack and the wonderful plot--it's simply an amazing film.","
            9/10
            "
"Iron Man","0U","22 February 2020","Great movie, which serves as a perfect introduction to Tony Stark's character. The antagonist was a bit boring, but except for that, I loved the movie!","
            9/10
            "
"Iron Man","jaredmobarak","29 April 2008","There was a big question mark looming over the theatrical adaptation of Marvel's Iron Man property. It was in the guise of director Jon Favreau. Now, don't get me wrong, I love the Favs, but when I heard he was helming a big budget comic book flicklet's just say I was a little worried. Once his cast was set and the fanboys started humming across the internet I started to ease into the decision with high anticipation. Thankfully, after finally seeing the finished product, I was not disappointed in the least. With a great mix of the professionalism and stakes seen in both Spider-Man and X-Men and the comic wit and sheer fun of Fantastic Four, Iron Man shows how a comic can be brought to the screen successfully without all the added drama and weight. We finally have a film with the essence of what makes these picture books so popular, the action and mythology along with a sense of adventure and humor. Favreau never bogs us down with overwrought emotions nor speaks down to us with gags and poorly written jokes. Instead he delivers on his promises and gives us a solid initiation into what could be a great trilogy or more.Favreau seems to have had an idea to get an origin story out while not boring us with long drawn out backstory. His ability to give us dual information at once is nicely orchestrated, showing Tony Stark in his basement creating while the TV in the background explains what is happening in the outside world of the Middle East and inside his own company. We as an audience are allowed to put the pieces together amidst the witty banter of Stark and the wonderful special effects. By the end of the film it is quite amazing how much information you will realize you now know, all culminating in a decent final battle, but more importantly a segue into the inevitable sequel. We are allowed entrance into the character evolution of Stark as he goes from war profiteer to man of action and cause, all while seeing the technology improve and advance before our eyes. Much like Batman, we have a hero here that needs help in fighting crime. He has no superhuman abilities besides his brain and being able to see his thoughts go from paper to reality is a feat of magic. Every stage is shown, every failure and success. It's quite the ride in and of itself, but when you add onto it the threat of global war and destruction, it can only get better.The real success here is in the bold move of casting an actor over-40 to be a superhero. This takes guts, because no matter how appropriate it is, most studios would have said, ""no, change the story and make him younger so we can churn out as many of these babies as we can."" I don't know how he did it, but Favreau got Marvel to get Robert Downey Jr. to play Stark, a sarcastic lothario with the brain capacity of Einstein. I truly can't think of anyone better suited to the role and he proves it by nailing every single scene. I'm sure there was some ad-libbing, but even if not, his comic delivery and ability to switch on a dime to a sincere seriousness at will shows his masterful craft.As for the rest of the cast, they all do well. Jeff Bridges plays the bombastic creature of villainy over-the-top, but appropriately so; Terrence Howard is nice as the friend and military liason, not given much to do, but definitely sowing seeds for the future; and Gwyneth Paltrow is good as the sweet assistant Pepper Potts who at times seems a little underwritten and more female prop than anything else, but comes through with some nice moments in a very comic sort of way. I also really liked Shaun Toub as Yinsen, Stark's savior, and Clark Gregg as the head of S.H.I.E.L.D. Good to see Favreau giving another actor turned director props, (Gregg's directorial debut comes out later this year in the form of Chuck Palahniuk's Choke). I just wish he would have shied away from putting himself in the film. It's one thing to be seen split-second, (like Stan Lee), but its another to give yourself a thankless role with multiple scenes, just adding fuel to the fire on people's opinions of egotism stemming from the drinking game created off of the TV show ""Dinner for Five"" and how many references to Swingers was made each episode. I'll forgive, though, because, once again, I'm a big fan.One can't forget that this is an action film above all else, so we can't just praise the actors; every effect is also quite brilliant. Those scenes of Iron Man flying amongst fighter jets in the trailer seemed really lame, but when in context they deliver. The suit itself is amazing as well, through every mach stage right to the end. My main highlight, however, was with the computer systems that Stark utilizes. The multiple screens, instant holographic reproductions, and ability to actually interact with those 3D representations is stunning. We can create them in fantasy, but it's just too bad we can't yet in real life.Now Iron Man is not a perfect film, nor even a perfect comic book adaptation. What it is, though, is a fun, comic actioner that should light up the box office. The final showdown is a bit of a whimper in comparison to the backstory and machine creation; a crucial element is saved from destruction in the one contrived bit of screen writing, (not quite utilized in the way I thought, although still for the same means); and some moments seem a tad campy rather than witty, but otherwise this is some topnotch cinema that should definitely be seen on the big screen. I can't wait to see how the story progresses in a couple years.","
            8/10
            "
"Iron Man","Smells_Like_Cheese","2 May 2008","Iron Man, the huge kick off to the big summer blockbusters of summer 2008, a great start. I have to say that originally I had my concerns, when I saw the trailer, this movie looked way over done and Robert Downy, Jr. as the hero? The guy is a great actor, but as a super hero? I wasn't so sure, but I was able to see Iron Man today and all my doubts were put behind me as I watched. This is one of best comic book adaptations put to film in a very long time, since the original Spider Man I think. The effects were not actually too over the top, only when needed, but it gave that extra feel of a comic book. Robert Downy, Jr., I couldn't believe how well of a performance he pulled off, there still is a little question of his casting, but he pulled off Tony Stark seamlessly. This is a very entertaining action film and is such a great blockbuster that is sure to please any film buff.Tony Stark, rich, handsome, incredibly wealthy, has it all. He also creates war weapons, when he goes to Afghanastan to introduce a new missile, he is captured and told to create the missile for the terrorists. But Tony has other plans, he creates a metal suit and escapes, he goes back home and announces that he wants to retire and close down Stark industries due to the violence he saw. But when he learns that the weapons of his are in the wrong hands, he realizes that maybe he could re-create a metal suit and become Iron Man, the incredible machine to save man kind.Iron Man is a sure fire hit that I'm sure you won't want to miss. It has everything you could want for a comic book film: action, humor, a great cast, romance, and ultimate effects that just get you excited. Even the soundtrack gets you pumped up and ready to root for Iron Man. The only complaint, as much as the action was cool, I wish it wasn't the war on terrorism they used, I know it's part of the story, but it hits so close, that it may seem inappropriate. The climax, a little cliff hanger, but I'm already smelling a sequel for next year probably. But Iron Man is a fun movie that all ages could enjoy, Iron Man is the new Spider Man for 2008! 8/10","
            8/10
            "
"Iron Man","DICK STEEL","30 April 2008","With a little tinge of shame and regret, my rare dalliances with the Iron Man character stemmed from a few one off comic books, as well as occasions during the teenage years of spending time in the arcade with those Marvel games, where Iron Man was one of my preferred characters because it came together with his incredible arsenal of weapons from repulsor beams to this gigantic cannon which accompanied the execution of some complex combo moves. There's something sexy about the red and gold suit of armour, and having an array of weapons at the disposal of a player, makes perfect sense for variety in dispatching your enemies.This may irk the fervent fans of Iron Man, but face it, the superhero belonged to Tier B where superheroes are concerned, languishing behind easily recognizable peers who already have movie after movie being made. But thanks to the advancement in digital technology, bringing Iron Man to life no longer consisted of the prospect and worrying thought of having a man running about in a rubber suit passing it off as metal, the way Ultraman would have been done, complete with mechanical clicks and whirrs as sound effects to try and fool the visual sensory. Here, we have a very detailed rendering of the entire design from scratch to final modification, and we're in at every step of the way, with many cheeky and sometimes a tad implausible scenes just for cheap laughs thrown in.I thought Iron Man the story worked because of stark (pardon the pun) similarities with Batman Begins, also an origin story which took its time to dwell on the man behind the suit, nevermind at the sacrifice of having less action sequences, or by not giving the fans what they want through the showcase of more than the basic powers. Advanced capabilities can always find room in the sequel, and as the first movie used to establish its characters, I felt that it succeeded, given too that it had a cast of capables (just like Batman Begins had) to pull the movie through without resorting to over the top and campy performances, starting of course with the lead in Robert Downey Jr.In a nutshell, Downey is Tony Stark through and through. His affinity for the character shines, and no doubt it bore some parallels between his own personal, and Stark's life in the narrative future when he hits the bottle. He was allowed to become a Two-Face of sorts, on one hand being and later acting out his flamboyance self whose mission in life was the continuation of his father's legacy of Stark Industries, a weapons conglomerate, versus his personal mission in ridding his own weapons from the hands of the bad guys, now updated to be freedom fighters in the Middle East. The dialogue contained within each scene of Stark's, except perhaps during captivity, is full of one-liners done in double quick time, you probably would think it boiled down to a whole host of natural ad-libbing.But while Starks spends significant amount of time in his unsecured basement building his masterpiece, his human interaction come in the form of faithful secretary Pepper Potts (Gwyneth Paltrow) who actually, for the first time I admit, looked really good on screen as Stark's most trusted aide, bringing about some serious spark of sexual tension and chemistry between the two characters of opposite sex, more so than any other comic book movie I have seen. And good friend from the air force Jim Rhodes (Terrence Howard) complete the circle of trust who knows of Stark's secret identity, and you'd be keeping your fingers crossed at the toss of a teaser of a certain War Machine appearance should the sequel be out. Who's the main villain in the movie? It points the finger at Corporations, or at least here, the weapons manufacturers and the shady deals that go through in the name of profit, the sole objective for any corporation's existence. And Jeff Bridges, in a rare villainous role, got to personify that greed and wrestle for absolute power just like the trailer already suggested. While his performance is refreshing as he disappears behind the ball head and bushy beard, you could see his motivation and how the plot would have been developed to introduced the ultimate fodder for Iron Man to duke it out in a, sad to say, ordinary finale which any audience would probably be able to stay a step ahead.As mentioned earlier, there are plenty of similarities with the Dark Knight of Gotham in Christopher Nolan's reboot, but more so because of properties inherent with the likeness between Bruce Wayne and Tony Stark. Both are incredibly wealthy to devote time outside of the day job to pursue their ""hobby"", both have to suffer personal tragedies in order to wake up to the cruel world, and in the movie, both fall prey to the corporate raider type, spend time perfecting their suit of war, have assistants they would trust their lives with, and of course save them from impending doom, and a finales set at their facilities.But Iron Man is still a special effects extravaganza offering a thrill ride especially when he goes into battle mode, and without a doubt, Robert Downey Jr probably should be credited for raising the profile of this once Tier-B character, to perhaps becoming more recognizable now, and obviously, expanding the fan base of this weaponry filled suit of metal, which of course, in this origin movie, we were only given a glimpse of its potential. can everyone now spell sequel and clamour for more please? Iron Man has set the bar for the other upcoming comic book movies to try and surpass this summer season!","
            10/10
            "
"Iron Man","darkmax","30 April 2008","Fortunately, I'm not one easily influenced by some users' negative comments. These people should try to restrain their bias opinions and try to review the movies as neutrally as possible.Now I would say that this movie has slow but steady momentum-building. It is a movie for people who has never known Iron Man in the comic series. The characters are given names and personalities, true to their comic book counterparts.Acting was among the best comic-turn movie I have seen so far. Effects were believable and not overwhelmingly CGI, except for the tank scene.This movie, however, has sequel written all over it. We know that because there are many scenes that could have lead to more.It's well worth its ticket price.","
            9/10
            "
"Iron Man","The_Film_Cricket","1 April 2014","Jon Favreau's ""Iron Man"" brings the superhero genre to a rock star status. Frankly, it needs it. It is a breath of fresh air after the Superman and Batman pictures which have been so vapid and overproduced that they forgot to be fun. This movie overcomes all the handicaps that have kept the others down including the labored weight of the origin story. Yes, Tony Stark builds and Iron Man suit and becomes a superhero, but the script isn't belabored by getting all the pieces in place. This is a fun movie that allows it's hero to learn from his mistakes.What makes ""Iron Man"" work is that Favreau and his writers realize that a man in an iron suit can only be interesting as far as the special effects can carry it. So, their movie is heavily weighted toward the performance of Robert Downey Jr. who, as Tony Stark, is given free range over his best gift, his mouth. Stark is old money, a billionaire whose company builds on the legacy of his late father, building weapons to – quote – keep the peace – end quote. As the movie opens, he's in a convoy in Afghanistan, drink in hand, headed to a presentation of his new weapon system. You don't have to have superpowers to guess that his convoy is ambushed by members of a terrorist cell who want the famed metallurgist to build them a missile. What does he build instead? Well, just look at the title.What a guy this is. He has enough many to keep a small country in luxury for decades. He can build anything with a hammer and welding torch. He lives on a vast mountaintop estate in Malibu, California. He has jets, cars, and even a robot butler named J.A.R.V.I.S. whose voice sounds suspiciously like Paul Bettaney. He's also got a Barnum-like gift for salesmanship, selling arms around the world to keep things in line. This is caused him grief. He's been called a Merchant of Death, a man whose company deals in making war profits. He argues vehemently that his company helps keep the world at peace by fighting back against those who bring about war. That builds the bulk of the movie as Stark builds the Iron Man suit, his company.After an incident in Afghanistan, he decides to shut down the weapons division and focus on building his iron suit. That doesn't sit well with his second-in-command Obadiah Stane (Jeff Bridges), and therein lies our villain. Bridges makes a good one. He's familiar to us as a nice guy, but here he proves that he can convincingly play a villain. It's not just a standard evil villain. There's something about Stane that gives he fuel to want what Stark has. It's a good performance.Also good is Gwyneth Paltrow as Pepper Potts, Starks's personal assistant and love interest. She could have been stuck in a thankless role, but Paltrow has been given something much more substantial to work with. She isn't all lips and glossy eyes. She has a brain and she tires of her employer's wreckless personality, that is, until she falls into his arms. The chemistry between Paltrow and Downey is something special.Yet, the greatest gift here is Robert Downey Jr. who's on the comeback trail. He's a wonderful actor who fell into a personal crisis but now seems to be on the road back. Recently, he's been turning in magnificent work in ""A Scanner Darkly"", ""Zodiac"", ""Tropic Thunder"" and the little-seen ""Lucky You."" He has a God-given talent and it's nice to finally see him getting back to great work. He gives a better performance here might seem necessary. He could have done a lot of posturing, but he gives Stark a personality that is light-hearted. It's a joy to watch.So is the movie. Jon Favreau has created a film that is exciting and fun. The script gives us more than we might expect, and it isn't all rock-em-sock-em crash and bash (though the movie employs those things). It isn't overwhelmed by marketing. This is a smart movie, with a lot of energy and style.","
            10/10
            "
"Iron Man","sacflyzone","23 April 2008","Rest assured, Iron Man is an absolutely amazing movie. I won't dare spoil any of this remarkable movie for you but I do recommend it as highly as I possibly can. Marvel needed to get in to the solo movie making business long ago. Instead of leasing out their characters to other studios, they're making movies themselves. Most everyone knows Iron Man is their first effort and what a great lead off film! This movie helps take the comic book genre to the highest level. Just like they did in the books, they reinvent standard epic adventure by ""Marvelizing"" characters and making them more believable. The Spider-Man and the X-Men movies did this to a degree but only as far as their respective studios wished to stay true to the source material. Anything added or amended was for the benefit of the live action adaptation. Director Sam Raimi pulled this off by talking to the summer crowd, not down to them with the Spider-Man series. Jon Favreau has done the same thing here but I think he's done it even better. Raimi intentionally threw in a little cheese. Favreau adds nice bits of humor but not too much. He also grounds the action and the suit of armor in firm reality. I've said it before but it's brave to reach for the highest common denominator with a big budget film and Favreau delivers a movie with as much feeling as it has action and intensity. Needless to say, Robert Downey Jr. and company deliver the goods. It's a movie that has a wonderful balance that delivers intelligence with its fun.The amazing yet realistic action is paced by the plot and characters that keep you interested from start to finish. What absolutely blew me away were the phenomenal special effects. I know they built a practical, working armor. What I loved is the use of CGI was used to augment the real life armor and not create something from scratch. Most all CGI constructs feel fake somehow but the stuff in Iron Man didn't seem fake even for an instant. As great as everything looked, what really drives the movie is the emotional resonance and down to earth nature of the plot. Sure the concept is wild but it's all presented so that you really believe it could happen. I doubt anyone will find fault with this movie unless they went in trying to dislike it.This is, without a doubt going to be one of my top 10 movies of 2008, quite possibly the number one film.","
            10/10
            "
"Iron Man","ffiisshh","21 April 2008","WOW WOW WOW.This is the movie I have been waiting for for a very long time. I am an avid Ironman reader. I have collected the comics all my life (from #1 in 1968 to the latest in 2008)...40 years of Ironman. Since I was a kid, I used to say to my friends that they should make an Ironman movie, but everyone laughed and said that the special effects would look ridiculous...mind you, that was back in like in the early 1980's. But, now we are in the age of CGI, and what an age it is. Just for you Ironman fans, to see him come to life with such spectacular graphics is reason enough to spend your hard-earned $10. The plot is also pretty well thought out, and the acting is just fine. What better pick could you have for Tony Stark than Robert Downey Jr.? (just wait for the sequels when they can delve into his alcoholism...Mr. Downey has been there and beyond...that's probably why they chose him for the role...fore-thought)The rest of the cast is right on par, as well. The pace is brisk, and the whole thing works as a great addition to the Marvel Universe in the Cinema!! Enjoy!","
            8/10
            "
